web-scraper-order,web-scraper-start-url,info-box,info-box-href,name,mbti-evsi,mbti-svsn,mbti-tvsf,mbti-pvsj,enneagram-finder,insticnt-variant
"1615573938-3379","https://www.personality-database.com/personality_type/3","113 / 46   51   14  ISFJ9w8Todd Alquist   Breaking Bad (2008)","https://www.personality-database.com/profile/14679/todd-alquist-breaking-bad-2008-mbti-personality-type","","I","S","F","J","9w8","sx/sp"
"1615563962-657","https://www.personality-database.com/personality_type/14","221 / 113   20   133  ENTP9w8Shinoa Hiiragi   Owari no Seraph","https://www.personality-database.com/profile/1834/shinoa-hiiragi-owari-no-seraph-mbti-personality-type","","E","N","T","P","9w8","sx/sp"
"1615569694-2085","https://www.personality-database.com/personality_type/8","121 / 38   15   14  ISTP6w5Jason Bourne   Jason Bourne","https://www.personality-database.com/profile/3450/jason-bourne-jason-bourne-mbti-personality-type","","I","S","T","J","6w5","sp/sx"
"1615574728-3655","https://www.personality-database.com/personality_type/2","102 / 46   50   33  ESTJ3w2Chizuru Ichinose   Kanojo, Okarishimasu","https://www.personality-database.com/profile/120664/chizuru-ichinose-kanojo-okarishimasu-mbti-personality-type","","E","S","T","J","3w2","sp/sx"
"1615565055-973","https://www.personality-database.com/personality_type/13","314 / 179   16   188  INTP5w4Futaba Sakura   Persona 5","https://www.personality-database.com/profile/8168/futaba-sakura-persona-5-mbti-personality-type","","I","N","T","P","5w4","sp/sx"
"1615563699-586","https://www.personality-database.com/personality_type/14","153 / 47   16   66  ENTP7w6Voltaire   Philosophy","https://www.personality-database.com/profile/3029/voltaire-philosophy-mbti-personality-type","","E","N","T","P","7w6","so/sx"
"1615575035-3759","https://www.personality-database.com/personality_type/2","328 / 175   76   89  ESTJ1w2Doppo Kunikida   Bungou Stray Dogs","https://www.personality-database.com/profile/9381/doppo-kunikida-bungou-stray-dogs-mbti-personality-type","","E","S","T","J","1w2","so/sp"
"1615571970-2722","https://www.personality-database.com/personality_type/6","249 / 109   82   94  ISFP4w3Tate Langdon   American Horror Story (2011)","https://www.personality-database.com/profile/1715/tate-langdon-american-horror-story-2011-mbti-personality-type","","I","S","F","P","4w3","sx/sp"
"1615565997-1195","https://www.personality-database.com/personality_type/12","233 / 70   15   65  ENFP6w7Finn / FN-2187   Star Wars","https://www.personality-database.com/profile/2122/finn-fn2187-star-wars-mbti-personality-type","","E","N","F","P","6w7","so/sx"
"1615572415-2860","https://www.personality-database.com/personality_type/5","137 / 56   40   62  ESFP3w4Ten (WayV)   K-Pop","https://www.personality-database.com/profile/31215/ten-wayv-kpop-mbti-personality-type","","E","S","F","P","3w4","sp/sx"
