notable_figure,mbti_evsi,mbti_svsn,mbti_tvsf,mbti_pvsj,enneagram,insticnt_variant
204 / 71   186   73  ISFP9w1Hirai Momo (TWICE)   K-Pop,I,S,F,P,9w1,sp/sx
146 / 60   18   40  INFJ2w1Senritsu (Melody)   Hunter X Hunter,I,N,F,J,2w1,so/sx
80 / 36   28   16  ISFJ9w1Sakakibara Kouichi   Another,I,S,F,J,9w1,sp/so
410 / 173   71   136  INTJ5w4Anais Watterson   The Amazing World of Gumball (2011),I,N,T,J,5w4,sp/sx
420 / 160   132   169  ESFP7w6Star Butterfly   Star vs. the Forces of Evil (2015),E,S,F,P,7w6,so/sx
430 / 186   177   199  ENFP4w3Willy Wonka   Charlie and the Chocolate Factory (2005),E,N,F,P,4w3,sp/sx
254 / 58   16   80  INFP9w1Arwen   The Lord of the Rings,I,N,F,P,9w1,so/sx
186 / 81   9   64  ISTJ1w9Kyoka Izumi   Bungou Stray Dogs,I,S,T,J,1w9,sp/so
167 / 66   66   39  INTJ8w7Eric Harris   Criminals,I,N,T,J,8w7,sx/sp
569 / 238   464   256  INTJ5w4Hannibal Lecter   Hannibal (2013),I,N,T,J,5w4,sp/sx
156 / 61   11   11  ESFJ2w1Shirley Bennett   Community (2009),E,S,F,J,2w1,so/sp
157 / 63   28   97  ISFP6w7Haida   Aggressive Retsuko (Aggretsuko),I,S,F,P,6w7,sp/so
"130 / 40   12   29  ISTP6w5Gabriel Reyes ""Reaper""   Overwatch",I,S,T,P,6w5,sp/sx
227 / 76   89   92  INTP5w6Mr. Bean   Mr. Bean,I,N,T,P,5w6,sp/sx
135 / 31   20   67  ISFJ6w7Mark Ruffalo   Actors (USA),I,S,F,J,6w7,null
256 / 167   68   162  INTP9w1Sucrose   Genshin Impact,I,N,T,P,9w1,sp/sx
109 / 42   14   37  ENTJ3w2George Clooney   Actors (USA),E,N,T,J,3w2,so/sx
119 / 43   17   40  ESTP3w2Tomoe Udagawa   BanG Dream! Girls Band Party! (Bandori),E,S,T,P,3w2,sx/so
78 / 36   9   28  ENFJ2w1C.A.Cupid   Ever After High,E,N,F,J,2w1,so/sp
200 / 115   23   181  INFP4w5Toko Fukawa   Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,I,N,F,P,4w5,sx/so
83 / 27   1   13  ESTJ6w7Major Francis Monogram   Phineas and Ferb (2007),E,S,T,J,6w7,null
228 / 68   54   57  INTP6w7Eric Forman   That 70's Show (1998),I,N,T,P,6w7,sp/so
147 / 76   53   33  ENFJ2w1MC   Mystic Messenger,E,N,F,J,2w1,sx/so
197 / 73   161   102  INFP4w5Taeyeon (SNSD)   K-Pop,I,N,F,P,4w5,so/sp
154 / 69   16   75  ENFP9w8Yui Hirasawa   K-On!,E,N,F,P,9w8,sx/so
335 / 124   107   67  INFP9w1Richard Watterson   The Amazing World of Gumball (2011),I,N,F,P,9w1,sp/sx
132 / 50   24   21  ENTJ8w9Red Crewmate   Among Us,E,N,T,J,8w9,sp/sx
230 / 96   37   83  INTJ4w5Severus Snape   Harry Potter (Book Series),I,N,T,J,4w5,sp/sx
100 / 28   8   22  ISTP8w7Selina Kyle   Gotham (2014),I,S,T,P,8w7,sp/sx
132 / 52   32   23  INTJ8w9Xayah   League of Legends,I,N,T,J,8w9,sp/sx
167 / 111   21   80  ENFJ3w2Akane Aoi   Jibaku Shounen Hanako-kun,E,N,F,J,3w2,so/sp
368 / 175   77   227  ISFP2w3Yashiro Nene   Jibaku Shounen Hanako-kun,I,S,F,P,2w3,so/sx
270 / 96   128   149  INTJ8w9Maleficent   Maleficent (2014),I,N,T,J,8w9,sp/so
78 / 38   21   20  ESFJ2w1Mion Sonozaki   Higurashi no Naku Koro ni,E,S,F,J,2w1,so/sx
257 / 125   32   180  ISTP8w9Feitan Portor   Hunter X Hunter,I,S,T,P,8w9,sx/sp
141 / 59   8   24  ESTP8w7Ares   Greco-Roman,E,S,T,P,8w7,sx/so
130 / 65   15   21  ESFP6w7Arthur Shelby   Peaky Blinders (2013),E,S,F,P,6w7,sx/so
100 / 45   129   35  ISFJ6w5Ashe Bradley   Witch’s Heart,E,S,F,P,6w5,so/sx
74 / 42   9   24  ENFJ2w3Giffany   Gravity Falls (2012),E,N,F,J,2w3,sx/so
84 / 44   25   14  ESTJ6w5Robin   Teen Titans Go! (2013),E,S,T,J,6w5,so/sp
199 / 49   20   41  INFP6w5Samwell Tarly   Game of Thrones (2011),I,N,F,P,6w5,sp/so
443 / 243   179   290  INTJ5w4Ciel Phantomhive   Kuroshitsuji,I,N,T,J,5w4,sp/so
177 / 66   23   56  ISTP9w8Hank Anderson   Detroit: Become Human,I,S,T,P,9w8,sp/sx
321 / 115   28   68  ISTP8w7Robin Scherbatsky   How I Met Your Mother (2005),I,S,T,P,8w7,sp/so
"185 / 53   49   118  INTJ5w4Jane Austen   Writers (Literature, Classic)",I,N,T,J,5w4,sp/sx
184 / 84   24   52  ISFP4w5Theodore “Laurie” Laurence   Little Women (2019),I,S,F,P,4w5,sx/so
449 / 284   141   297  INFP9w1AURORA   Musicians (Europe),I,N,F,P,9w1,sx/sp
190 / 83   40   74  INFP4w5Tom Hansen   500 Days of Summer (2009),I,N,F,P,4w5,sx/sp
345 / 141   161   117  ESFP7w6Lisa (BLACKPINK)   K-Pop,E,S,F,P,7w6,sx/so
105 / 28   33   7  ESTJ8w9Ciro Gomes   Government (Latin America),E,S,T,J,8w9,sp/sx
411 / 168   95   58  ESFJ3w2Leslie Knope   Parks and Recreation (2009),E,S,F,J,3w2,so/sp
183 / 70   27   90  INFJ5w6Dale Cooper   Twin Peaks,I,N,F,J,5w6,so/sp
254 / 132   58   112  ESTP7w8Rika Kawai   Wonder Egg Priority,E,S,T,P,7w8,so/sx
227 / 98   26   81  ISTJ6w5Jaehee Kang   Mystic Messenger,I,S,T,J,6w5,sp/so
103 / 40   15   46  ENFJ2w3Yeong-Gi ”Nol” Hirahara   I Love Yoo,E,N,F,J,2w3,so/sx
229 / 92   34   83  ESFP4w3Deidara   Naruto Shippūden,E,S,F,P,4w3,sx/so
257 / 115   75   38  ESTJ8w7Michael De Santa   Grand Theft Auto,E,S,T,J,8w7,sp/sx
366 / 216   9   244  ESFP7w6Nishinoya Yuu   Haikyuu!!,E,S,F,P,7w6,so/sx
172 / 48   8   36  ESTJ8w7Captain Hector Barbossa   Pirates of the Caribbean,E,S,T,J,8w7,sp/so
127 / 58   19   48  INTJ8w9Mojo Jojo   The Powerpuff Girls (1998),I,N,T,J,8w9,sp/sx
"181 / 86   14   63  ESFJ2w3Princess Toadstool ""Peach""   Super Mario Brothers",E,S,F,J,2w3,so/sp
177 / 61   21   51  INTJ5w4Jaqen H'Ghar   Game of Thrones (2011),I,N,T,J,5w4,sp/sx
140 / 83   27   57  INTP5w6Blathers   Animal Crossing,I,N,T,P,5w6,sp/so
"435 / 216   86   203  ENFP4w3Anne Frank   Writers (Literature, Classic)",E,N,F,P,4w3,sx/so
154 / 84   29   117  INTP6w5Onodera Punpun   Oyasumi Punpun,I,N,T,P,6w5,sp/sx
102 / 27   1   12  ESTJ8w9Yara Greyjoy   Game of Thrones (2011),E,S,T,J,8w9,so/sx
101 / 27   30   6  ENTJ8w9Serkan Bolat   Sen Çal Kapımı,E,N,T,J,8w9,sp/sx
127 / 33   26   52  ENTP5w6Sabo   One Piece,E,N,T,P,5w6,so/sx
2798 / 1066   2052   716  ENTJ1w2Light Yagami   Death Note,E,N,T,J,1w2,so/sp
327 / 153   85   72  ISFJ9w1Cinderella   Cinderella (1950),I,S,F,J,9w1,sp/so
166 / 62   42   31  ISTJ9w8Mr. Shaibel   The Queen’s Gambit (2020),I,S,T,J,9w8,sp/sx
385 / 129   59   98  ENFJ3w2Margaery Tyrell   Game of Thrones (2011),E,N,F,J,3w2,so/sx
1172 / 439   1873   223  INFJ5w4Jordan Peterson   Psychology & Neuroscience,I,N,T,J,5w4,so/sp
118 / 49   9   30  ISTP9w8Jesse McCree   Overwatch,I,S,T,P,9w8,sp/sx
474 / 171   97   126  ENFJ2w1Judy Hopps   Zootopia (2016),E,N,F,J,2w1,so/sp
328 / 165   132   214  ENTP7w6Alexis (Quackity)   Gaming,E,N,T,P,7w6,so/sp
149 / 56   67   24  INTP9w8Musa   Fate: The Winx Saga (2021),I,N,T,P,9w8,sp/sx
77 / 33   4   33  ESFJ2w1Marnie   Omoide no Marnie,E,S,F,J,2w1,so/sx
1304 / 520   673   768  INFP9w1Luna Lovegood   Harry Potter / Wizarding World Films,I,N,F,P,9w1,sx/sp
172 / 83   44   28  ESTP3w4Lightning McQueen   Cars (Franchise),E,S,T,P,3w4,so/sx
94 / 36   13   50  ISFJ9w1Wadanohara   Wadanohara And The Great Blue Sea,I,S,F,J,9w1,sp/so
294 / 170   32   50  ESFJ3w2Tahani Al-Jamil   The Good Place (2016),E,S,F,J,3w2,so/sp
122 / 55   20   44  ISFP9w8Dakota Johnson   Actresses (USA),I,S,F,P,9w8,sp/sx
107 / 35   6   17  ESFP7w8Mick Jagger   Musicians (United Kingdom & Ireland),E,S,F,P,7w8,sx/sp
170 / 66   25   94  ISTP9w8Soul Eater Evans   Soul Eater,I,S,T,P,9w8,sp/sx
101 / 66   23   53  INFJ4w5Sigma   Bungou Stray Dogs,I,N,F,J,4w5,so/sp
126 / 37   8   31  ESTP3w4Dimitri   Anastasia (1997),E,S,T,P,3w4,sx/sp
"112 / 40   38   26  ESTP3w4Jeon Soyeon, (G)I-DLE   K-Pop",E,S,T,P,3w4,sp/so
